blog,text
93,For a brief moment i saw it turn no lights on the back side it was huge blackened steel block shape in the sky it was at an angle so no way to tell exact shape while it banked to the north at low elevation
94,I was driving home from Cromwell heading south. It was a clear night. When I got on 91s I came around a bend and saw the bright light. I thought it was a plane  but thought it look a little low.  As I travel the odd thing was as I got closer the light got bigger  but the object didn’t appear to be moving. It then became evident it wasn’t moving and there were actually three light on the front. The one in the middle was much larger than the two side ones.  There was also 3 circle white light with a red and blue light inside it circling around. It was HUGE and what was unsettling was it was completely SILENT!!! At one point I was directly across the highway from it and could see underneath. Very eerie and unsettling.
95,Driving South on Hwy 101 this morning. I saw a very bright disc shaped object in the sky appeared to be hovering somewhere over the bay. Image lasted about a minute  then simply disappeared. It reappeared about a minute later but only laster about 30 seconds and them blinked out.
96,!Seen  on 2  different  nights by 2 separate  people not together.
97,One large bright light. At least 4-5 smaller bright light close to it. There was two separate small lights we watch break off the larger light. One went to the south and then the other broke off and went to the north. They were moving about 10 times quicker than the jets.   Some of the smaller light that were around the bigger light move as well  but still stay close. The big light did not move. It was around 4-5am. I was upset to be woke up earlier than I had to be to start the turkey.
98,Looking at sky for Moon(Jan. 2014 has 2 full moons)  I noticed 2 bands of rotating orange lights moving slowly towards me. 1st thought 2 aircraft in wing formation. But they slowly moved to one on top of other and both then slowly moving straight up. I then noticed a 3rd one moving from same direction as 1st two  (I called for my 2 friends in doors to come see  I was on front deck of beach house). As they joined me on deck  then too saw all 3 craft.  As we stood watching  the 3rd craft aligned under 1st two and it slowly moved up too.  Then we all saw the 1st craft(seemly not very high  maybe 1000ft(a guess) slowly disappear.  As moving up  it seemed to go behind  or into the night sky. Like something moving behind a curtain.   That’s when we all noticed the 4th craft coming from same direction as others to now join them in same up position. We all noticed there was no sound.  Even the ocean was clam. No loud surf crashing.  We watch until all 4 crafts moved up where 1st had gone and simply seemed to vanish.  About 15 mins we watched. None of us have ever seen these craft before. The craft moved slowly  no sudden moves  except flying slightly upward to a point where they moved straight up.
99,I was outside in my backyard on December 31 2013 approximately 9:53-10pm with my dog saw a red light with no running lights/ hazard blinking lights just a steady red one.  No noise  a plane had passed in the west a few minutes earlier and was clear as a bell to hear it and understand where it was looked to be over Nepean western Ottawa. The red light travel at about half the speed of the commercial plane came in a southern direction.  I was able to see it through a tree in my neighbors yard (winter no foliage) when it cleared the tree I was able to get an un obstructed view of it and noticed there was a second red light that was keeping pace with the first. Again it had no blinking lights just a steady red no pulsing more like a light bulb almost and no noise.  It was a clear cold night  a little dampness in the air which can often make jet engines sound louder or throatier.   I watched the lights travel for about 5-7 mins they both came from what looked to be over the Gatineau hills in a southern direction   they both turned/ banked and started to head more south easterly where they again turned north easterly and to a high elevation in the sky.   Then they seemed to fade out I wasn’t able to see them anymore the sky was clear cloud coverage was minimal    The second light followed the same path as the first and faded out lost visual contact with at about the same spot in the sky the lights were about 15-20 seconds apart but clearly followed the same path. As the first light faded out and the second was approaching the firsts spot of lost contact I was able to see 2 planes traveling north west in the western sky   both clearly marked commercial planes with blinking running/ hazard lights.  the UFO I saw was just a red light in the sky nothing else was seen blinking or anything to make me assume it was a commercial flight.
100,It was sunset.   I even took a picture of the sunset with my phone.  Next to the sunset was a shadow circle/ globe in the picture.  But  couldn’t see the circle while looking at the sunset.    Then suddenly I saw this triangular looking ball of flame shooting straight into the sky.   Something like a firework  flare gun?????  But  it kept going higher and higher past the clouds and did not burn out!?  UFO?!   I dunno.   Never seen anything like that before?!
101,coming from waterbury 6:45 pm I 691. Thought it was a comet at first due to the green light. As i a got closer to the object  i realized it had a cigar shape to it. Light was on the front of the object. Drove to the small airport in 15 minutes. No traffic and looked closed. Freaked me out. If you do contact a witness  please be respectful to them. Contact Email of Witness: cevallos_torres@yahoo.com
102,it had big lights thats all i know If you do contact a witness  please be respectful to them. Contact Email of Witness: groovydoodz070502@hotmail
103,I was talking on the phone with my aunt when I saw a slowly moving object in the sky. It wasn’t that high but it was a long distance between me and the object. It was in shape of triangle.  What really considered me was that the ufo turned on 3 lights that were in a line. They were bright big and white. It than turned them off after about 10 seconds and slowly flew away than disappeared. It was in the evening so I couldn’t see all the details.
104,idk  but figure I would send this  at first I thought someone lost their balloon in the parking lot and it was floating away  until I realized it was too big for the distance I was (starbucks parking lot)  I think… I saw this thing at first it caught my eye because it seemed to tilt back and forth(like a balloon floating and being tweaked by wind) but it wasnt floating up  but straight across and at a constant speed  it only tilted few times before stabilizing  just a dark fat disk looking(again like one of those mylar balloons  floating on its side) 
105,I’m really not sure of date. It was my grandparents anniversary  I think 169/1970. My whole famiy was there for a party in the side yard which was very big. My cousin and I were sitting on the steps of the patio and we were observing an object in the sky. My cousin and I were always into UFO’s. We belonged to National Investigation committee of aerial Phenomena. We started making phone calls to people to see if there are seeing the same thing we are. We were getting good response back on this. We called a friend at Wright Patterson air force base and he said they were monitoring it. He said there were sending fighter jets out to investigate it. Short time after the jets flew over breaking the sound barrier and when they approached it that’s when it started to move and it moved towards the sun  like a good military move to blind the pursuing planes.  We watched this for about a minute then my mother screamed and we all turned around and there it was. A dream come true. A mother ship just sitting there about one hundred feet up. Just above the tree tops. No sound and no movement. You could see excellent detail. It was like looking at a star wars ship. Loved it.  a minute later it took off. Here then gone in a split second. If you do contact a witness  please be respectful to them. Contact Email of Witness: bizmart411@aol.com
106,We were driving south on Rt 23 in Wantage.  Saw small groupings of orange lights  At first they seemed to be hovering or stopped then they seemed to be in a formation of triangles and traveling closely at the same rate of speed. We rolled down car window and heard no noise.  Not helicopters.   A neighbor  a block away from this site saw them from her window in her house at the same time and described the same phenomenon. Much brighter than planes. Another car was stopped at the side of the road watching also.
107,
108,stoped over tree line.had contact at leasted the one I spoke with under stood english asked if I wanted to go with them.I choose to stay.human looking but not and there maybe a dangerouse element for some people in going with them like death sorry but that what I gathered from the conversation. they are peaceful as far as I can see Mind communication is how we conversed.We may have been taken abourd some unacounted time hade past.they can move at great speeds unhumanly and maybe or have something to due with africa or eygipt and isrial bible related possibly spiritual in some ways. you have my email leave number and I will call you if further interested.thank you john. If you do contact a witness  please be respectful to them. Contact Email of Witness: d.andj.del1423@att.net
109,I was coming home from grabbing a bite to eat  and saw the orange orb in the sky.  I pulled over to watch to see if it would move  and turned off my car.  It began to move  directly towards my car  slowly  and out of fear  I started the car  and went towards my home slowly.   I watched it as I drove and saw it drop a bright orange liquid from itself  looking to be some type of molten hot liquid.  I then saw two neighbors out changing a flat tire  and told them to run to the corner to see it and try to get it on their cell phone vid  which they did.   The female neighbor caught it on the cell phone  and caught the object dropping more molten liquid  which burned itself out in the air as it dropped towards the ground.  It seemed to actually shoot it downward towards the ground.   After she got it on vid for about 2 minutes  it blinked out.  It showed up just a few minutes later (assuming it was the same one) about ten miles away  seemingly  somewhere over the countryside of the Sebastopol  Ca area.   It just sat hovering  without movement  but was quite large and very low in the horizon.  I could no longer see it through the trees in front of my house  but went down the street to watch it for about five minutes more  but it just sat and did not move.  I witnessed this with other neighbors.   They stayed and continued watching  I went inside.  This is not the first sighting I have experienced.  It is the second one within a two year period  both witnessed by other people.   The first experience was in Windsor  Ca  witnessed by at least 12 others outside of a restaurant.  Both sightings involved red/orange orbs.  The first sighting was three orbs  the second  tonight  was one orb.
110,I been thinking about this a lot and it’s been bothering me. As I was leaving the county fair  I seen a bright white orb flying south to north over hwy 101. It flew 100 yards slow enough to see it then it just sort of just hit the gas and was gone so fast  as soon as I yeld for others with me to look  it was gone. No one seen it  but I did and I’m convinced it was a UFO! Or something! If you do contact a witness  please be respectful to them. Contact Email of Witness: Ljeezybaby@gmail.com
111,at first seen an orb off in the distance going back and forth three miles north of me. I live on top of a hill on an island 100 feet above sea level. as it got within 1 mile the orb was making a giant circle 1/3 mile dia. at 3 miles it looked like it was going back and forth.  then all of a sudden in side the center of the circle a giant ball of light appeared 300 to 400 feet dia. with a huge orange ring around the ball that was 800 to 1000 feet dia. it looked liked Saturn on its side. there was a hazy foggy thing happening around center ball of light the ring looked like it was segmented like an orange and the orb just kept going around everything 4 seconds to 1 rev. counter clock wise.  this all happened the center activity in 15 to 20 seconds then the center went out. but orb kept going around the center was invisible. then it got a little higher in elevation and continued south south east right over my head. when the center was lit up large ring was facing north. this is one of dozens of object I see half dozen a year.  most of the time they come out of north west sky moving slow. it seems they use the light houses as navigation. genially they are less than 1000 feet up. 40 to 50 mph. almost never any noise. I know this area well I have topo’s and charts I fish here and hunt here for 27 years I dig clams right were this thing hovered. biggest ufo yet! If you do contact a witness  please be respectful to them. Contact Email of Witness: jimxgutta@gmail.com
112,i saw this light int he sky that was pretty small so i assumed it was a star  but as i watched it it started going higher and then it started moving to the left and went behind some trees and then it was gone.
113,I saw the light  at first I thought it was a plane  until I realized it was not moving. I was at a stop light when I saw smaller objects circling the bright light object  that’s when I started really paying attention. I watched these objects for a few moment until I got home and told my husband.  We both ran in the car and drove until we were able to get a better view of these objects. Which we end up on James Island on a boat landing. That’s where we saw it better and the smaller objects were all over the place. My husband at first was like no way this real  until he saw the reflection of the big light on the water.  I wish we had stayed  we were in such a rush to get closer  so we traveled to Folly Beach and saw nothing  so we drove back to the boat landing and it was gone. So  now every night I am staring into the sky.  I have always believed in UFO’s and will always be interested. Some people just have a fear of the unknown or just feel that we are the only beings. Had my camera on my phone  but did not think about taking photos. I should have.
114,My son and I were driving north on the Southfield Fwy and we noticed a particularly bright ‘star’ in the sky to our left.  We immediately said “look – what is that??” because we know enough to know that a star would not appear to be that close.  It seemed to be closer than the average-size passenger airplane flying overhead around the same time. We stared at it for a couple of seconds.  My son was driving  so he looked away and I kept watching it.  That is when it took off going forward.  I saw it when it first began to move.  I caught a glimpse of its shape.  It wasn’t as bright – as ‘star’ like – and I saw the ball-shape with the spikes at the top and bottom.  It was luminous but not bright as a ‘star.’  In the blink of an eye  it had moved so far away that it looked like a little twinkle.  I said to my son “did you see that?!” and he said “yeah – I saw it!” In another blink of an eye it was a white dot in the sky that had made a ‘hard right’ and was ascending full speed ahead across the sky.  It was moving so fast I could see what looked like wind-streaks on its side and behind it.  My son said “look at it flying across the sky!” I believe I saw it again in the same spot a couple of nights later but it was further away this time and did not move.  I think I know it when I see it now because it has an elongated shape – not the usual round twinkle of a real star – and it is still the brightest ‘star’ in the sky. I told my parents about it a few days later and they told me there were reports of a meteor shower in the news.  That was no meteor.
115,There was no sound..
116,While sitting on my deck overlooking Rock Haven Lake in West Newfield Maine  looking at the night sky as I often do  I noticed a peculiar-looking white object brighter than a star on fouro consecutive nights in a row.  The airplane incident occurred only on the night of September 19  2013…on the other three nights the object was just stationery –  sitting there for hours.  It was not in the same position any of the four nights.  Sometimes higher  sometimes lower.  the full moon lit up the sky brilliantly and it was a very clear night. Would appreciate hearing from others so that I know I’m not going crazy!!! If you do contact a witness  please be respectful to them. Contact Email of Witness: sheak@gmail.com
117,Last night at around 9 PM I was standing outside when I noticed a particularly bright star southeast in the sky where I hadn’t seen any like that before.   It was a little hard to see because we live in the woods and it was visible through the tree line  so I went up into our garden above the house to get a better look.   There was no wind and yet it seemed the trees moved or else it was the light.  As I stood there it moved very slowly  so that at first I wasn’t sure if it was moving or I wasn’t seeing right.   After about ten minutes my husband came out to watch and agreed that it was moving and he joined me  watching the very slow progress across the sky.  It stopped every once in a while and hung there  then moved ever so slowly again.   While it was hanging I saw a couple of what looked like the lights of a small plane.  I thought that they must be able to see this if I can see it on the ground.   They kept on their path and this happened 3 times  which is an unusual amount of air traffic for our area.  It moved so slowly and also seemed to wobble a little several times.  Then it stayed in the same spot for a long time and we went inside to rest our necks.   I went out to check every 20 minutes or so and it was in about the same place.  I fell asleep on the couch and woke up at 12:35 AM and went outside to look.  At this point it had moved a little to the West and had apparently climbed in altitude.   It looked smaller  but was still the very bright set of lights that we had seen earlier.  I called my daughter at one point asking her to see if there was anything on the internet about this  other than that we didn’t notify anyone.   I couldn’t imagine that at 9PM on a Sunday night that someone else hadn’t seen it.  I looked again at 3AM and there was some cloud cover and no sign of lights.
118,About 40 degrees about southern horizon. Moved slowly from west to east  and almost seemed to ‘stop and turn’. (Don’t know any other way to describe.) After a few minutes  it rose into the cloud cover. The size of the ball was huge. Stunning. Occured at appx 11pm.
119,on a typical friday night at about 8:30 pm  i got out of my car after a run to the store and noticed something in the corner of my eye  at first i thought it was a firework or flare  maybe shot off at the lions club   but it hung their and kind of wabbled slowley in multiple drections like a helicoptor. what i saw was clear as day! however there were no blinking lights and no sound.   after a little over a minute it took off in a straight line towards coventry  as it left it didnt appear to descend at all and i could tell it was an object by how it looked in front of and behind sparse clouds in the sky.  i took a video with my phone but all it shows is pitch black and a porch light about 100ft in front of me.
120,Sitting on back deck  looking east and notice 2 then 4 orange fire balls in the sky. First thought of airplane  but within minute at least 10+ more were there forming patterns like a triangle with an extra one in the point of triangle. It seemed as if there were 4or 5 groupings of triangle formations. The objects just hovered back and forth almost looked like they were not moving at all. After 5 mins or so headed north west in a sideways type of movement. 4 of us witnesses this truly unexplainable.
121,I  my wife and my father were on the Springmaid Fishing Pier on Sept 19  2009 at @8:45.  The weather was slightly hazy  the surf was extremely rough and there was a strong steady wind. I was facing north looking up the coast toward downtown Myrtle Beach. I noticed a sudden large beam of light coming from a stationary object that was offshore.  The beam lasted approximately 45 seconds and then slowly faded out.   The Spring Maid Pier is across the highway from the airport. There were no other aircraft in the air at the time of this sighting. I have fished on the Spring Maid Pier many times at night and have seen aircraft coming and going from many different directions  I have never seen anything like this before.
122,They (3 objects) were very quiet and hovering counter clockwise in the Northeast direction. An Adams county sherrif also spotted them and put his spotlight on the objects but the spotlight was burned out by the objects. This information was in the Thornton/Northglenn Sentinal back in October of 1973 but I can’t find the article anywhere. Can somebody find this article somehow? If you do contact a witness  please be respectful to them. Contact Email of Witness: sosevents@aol.com
123,3 minors very trustworthy called on cell phone completely freaked out with an identicle story only varying a little on the description.
124,I work graveyard shift at the brooklyn union pacific railroad yard around 12:30 am i noticed a red and green light moving sideways up and down at great speeds.there was no noise it stayed still  then would move again.it  disapered  then appear  again If you do contact a witness  please be respectful to them. Contact Email of Witness: josef.coulson@yahoo.com
125,I was walking up to my house and stopped to look up at the stars and then I noticed this one star started to move and it was waaaaay to high for a plane it looked like a dot like the stars but it was moving left in the sky and was moving pretty fast but I was just watching it and then as it got closer to another star that star to started to move right behind it and the moved about ten more inches to the left and just vanished! It completely freaked me out If you do contact a witness  please be respectful to them. Contact Email of Witness: Mikey1019@gmail.com
126,These orange glowing orbs traveled from south east to northwest at an approximate distance between them of two hundred feet apart in  a straight line. I video tape the occurrence but when I zoomed in the middle of the orange glow appeared to be white glowing. Camcorder was hard to stabilize kept jumping all over the place.
127,I looked out my upstairs window and noticed a perfect red triangular formation (3 lights). They would dim and disappear in front of eyes and then change form into a perfect straight line. I yelled for my husband to grab the camera which of course isn’t charged.  At least he was able to witness the lights as I did so I know I am not crazy. There was an additional red light at the bottom of the formed lights which I couldn’t see as clear because it was through the trees. It lasted 15 minutes and we just could not look away.  Afterwards there were several helicopter ‘s in the same space circling. Truly spectacular. I still can not believe what we saw. If you do contact a witness  please be respectful to them. Contact Email of Witness: ruthief1@hotmail.com
128,The objects start out at first the South and look like stars. Then suddenly they get A little bigger and brighter  and start moving across the sky toward the big dipper (North) and just disappear. I have seen several of the objects lately  and I am wondering if anyone else has also noticed them too.  I have been star gazing for a couple of months now every night  but never noticed them before. They also start twinkling before they move  and approx. five are in an arch position at equal distance from each other. Has anyone else seen these lights? Or  does anyone know what they might be?  I imagine we are not alone  but who knows for sure. I haven’t made contact as of yet. If you do contact a witness  please be respectful to them. Contact Email of Witness: jeanie.pohlman@pcc.edu
129,I was driving south towards the ocean to pick up a friend for work between 9-9:30pm and directly in front of me in the sky was a large very bright round orange lights in a v pattern. It was very clear. I stared at it through my windshield what seemed like a good 5 mins or so trying to figure out what it was.  It certainly did not look like an airplane or anything else. Then all of a sudden it started blinking really fast and disappeared. Then I saw a smaller set of rapidly blinking lights directly next to it and then it just disappeared completely. When I got to my friends I told her that I saw something crazy and didn’t know if I was seeing things and she described it and said she had seen the same thing.  I talked to two other people that night who were at different locations at the same time who said that they had seen it as well and described it the same way.
130,The Object went in many different Directions  at one   it was a Solid light in a triangle shape .
131,large round  thin  flat  lime green almost flourescent like with different shades from lighter in the middle to brighter and darker going to the outer rims(similiar to a color wheel in graduation of color). It had a comet like tail  no sound and only saw it for approximately 5-6 seconds before it disappeared into some low lying clouds. If you do contact a witness  please be respectful to them. Contact Email of Witness: Linda8952@hotmail.com
132,At  12:30 AM on 6/5/11  we were leaving a friend’s house  and a bright light in the sky caught our eye.  At first  my husband thought it was a low flying airplane  but as we continued to watch the flight pattern  speed  and size  there was nothing we know of that could have matched these.  The bright light started out a yellowish and later turned more to a orangeish/redish color.   The flight pattern was NOT a straight line – it moved across the sky  then backward  then forward a few times while also changing speed and distance from the earth.  It was much  much bigger than a star  which is why we mistakened it for an airplane at first  but how it moved and it moved very VERY quickly  we dismissed it as an airplane.  Plus  there was no noise at all.  As the light zig zagged back and forth speeding up and slowing down.   After the erratic flight patterned stopped  the light started getting farther and farther (smaller and smaller) from earth till it disappeared completely from the night sky.  All of this happened in the matter of 30 seconds or so.  Three of us witnessed this event.  Just posting this out there to see if anyone else in the area was outside and witnessed this event.
133,DID NOT SEE OBJECTS  ONLY HEARD SOUNDS FROM (THEM). 3 OBJECTS.  YEAR 1999 IN FALLS PA.
134,looked like a cluster of flames traveling fairly slowly and silently. flight pattern looked like a balloon or a kite. Anybody else see this?
135,It was about 7:30 to 9;30pm. I had just emerged from the subway at 169th st. and Hillside Ave. in Jamaica  New York   I was going to pick up my car to finish my commute home to Long Island. The light and movement caught my eye and I looked up.  There above me moving at moderate speed in a NE direction was a very large disc. The overall illuminated color was that of an incandescent light bulb. On two sides directly across from each other were 2 half moon shaped sections lighted in a solid bright green colored light.  This object made absolutely no sound what so ever. It was reported on the CBS news radio later that evening  but only once. Official report  “an airplane advertising” I being an observer over the years of all types of aircraft  both military and civilian can honestly say this was not a winged craft of any type.  I would like to know if this was reported and archived in any NY newspaper  since hundreds of people saw this disc and called the police. I listened as it was reported on CBS radio at appox. 10:00pm that night..
136,a single like similar to a old style lantern but was strong enough to see far away  If you do contact a witness  please be respectful to them. Contact Email of Witness: pi555@aol.com
137,It appeared as a bright white pulse or flash  much stronger than anything I’ve ever seen  save for lightning. This was no “shooting” star. It would drift in an erractic path  periodically pausing and then flash. Not able to see it unless it flashed.  I say its path was erratic only because it flashed often enough to ‘visually’ track it. Eventually  after 2 or 3 minutes  it disappeared. My daughter witnessed the same behavior in the night sky in the same area on July 7  2017. Could it have been a drone?
138,its been going on for a few weeks now they come up over music mountain and the hill around us they look like they are swaying they stay for hours in the same area looks like they try to fit in to the stars but i can see them as plane as day everyone i have talked to says its the military i don’t think .
139,flying  faster  than a  jet plane If you do contact a witness  please be respectful to them. Contact Email of Witness: maine_hunter2000@yAHOO.COM
140,Stepped outside and one of us pointed up  there was a disc hovering. we watched it for 5-10 min. then it shot off at crazy speed. Just then another one came in and hovered in the same apx. place we watched for a half hr. finally getting in our cars and leaving.Since it wasn’t doing anything. This was a long time ago  but I remember it like it was yesterday  and I have studied everything I can get ahold of ever since. But have never told many people  this is the first time I’ve ever written anything on it. I don’t want to deal with media. OK?
141,On the night of october 1 shortly after midnight I witnessed a series of bright spheres moving across the sky from the south east toward the north west. the spheres were silent and appeared about a minute to a few seconds apart. moving at the same pace seemingly following one another. they were a bright orange in color. at one point one of them seemed to just suddenl vanish.others moved out of sight. they seemed to just appear and faded just as quick.
142,i was 8 years old it was 3’00 afternoon. i went outside to play saw ufo over trees hovering. i turned to get my brother but it sped off in a second it was gone.the next months to follow people were outside at night ufo watching.i no it was real
143,A series of flying objects flying in in numbers of 1 to 3 flew over. Single objects  pairs and groups of three. The groups of two flew typically side by side but had crossed behind each other. The groups of three flew in a triangular formation with one in front and the other two flanking to rear on each side.  The orange light they gave off didn’t blink or flash but seemed to stay at the same intensity and appeared as horizontal oblong shapes.
144,I’ve been looking for somebody to tell the story. A few years ago in a trailer park in Ocala Florida there was this silver ball stationary up in the air it was about 1000 feet up stationary that it was a time I was sitting on my deck about two years ago was late at night the object was facing N I couldn’t believe how big it was you could open it for qualified jumbo jets on its wingspan it came in the front of the object was reddish to the size of three football fields it came in for about 3 seconds that it disappeared it made no noise I’ve ever seen something this big before this is about two o’clock in the morning it was clear night If you do contact a witness  please be respectful to them. Contact Email of Witness: allenlmr2@gmail.com
145,I was outside with my daughter we say a gray large boomerang with no lights flying UNDER the cessna plane that was heading towered’s John Wayne airport It had no sound  we only heard the cessna then started flying south when we couldnt see it anymore If you do contact a witness  please be respectful to them. Contact Email of Witness: abracadabra714@gmail.com
146,3 red/amber spheres   hovering or moving very slowly   one quickly disappeared  the other 2 remained at exactly the same altitude and stood still for approx 2 minutes  then began to ascend slowly  the left one headed west nw and the 3rd one remained   still amber/ red  as it finally followed the others i got a pic as it got further away but on closer inspection you could see a definite rectangular shape with a shaped top and more shallow bottom   all changed from amber to white as they got further away but took off at an incredible rate   i am by the charlotte airport and their were many airplanes at about the same distance which you could hear but these were completely silent i will forward pic when i can figure out how to do it by phone as it s on my cellphone If you do contact a witness  please be respectful to them. Contact Email of Witness: timandchick@comporium.net
147,About 7:45 PM  bringing Tristan & Sawyer home Tristan said  “Grandfather are they firefly’s”? I looked and saw some type of lights / aircraft  in waves of 15 to 20  flying in twos & threes going from south to north  in Bellows Falls  VT. We watched at least three waves of them. By the red light they showed (very bright) they did not appear to be very fast. Nor did they appear to be flying very high  but no sound.  They reached a certain point and disappeared or turned their lights off. I would guess 45 to 60 in total. Some others had pulled over to watch also.
148,Me and two friends  (we were all about 11 years old) witnessed the craft which hovered motionless and silent. Strange odor or more like a “taste” in our mouths  hard to explain but it tasted or smelled like battery acid. The UFO didn’t seem to have any lights blinking  more like the craft glowed.
149,I was at a drive in with my mother  sister  friend and other friend. I was on my way back from the bathroom between films and I decided to stop and look up at the sky to search for shooting stars (its been a past time for a while) I saw a bright light it was moving very slowly across the sky.  I watched it for about 20 seconds for it to blink thinking it was a plane or a helicopter  but it didn’t. Suddenly  it moved in a shooting arch with a tail (like the ice on the back of a comet or meteor) toward the trees and it extinguished before it hit any kind of horizon line. If you do contact a witness  please be respectful to them. Contact Email of Witness: silvermoon232456@yahoo.com
150,it was nighttime If you do contact a witness  please be respectful to them. Contact Email of Witness: starrsweet22@hotmail.com
151,As I was traveling south on Cloverdale at ~10:00pm late December 2007  I saw what appeared to be stadium lights on the left side of the road. It was unusual because the lights lit up the ground  but I was not able to see the post they were attached to. I thought it possibly was one of those temporary set ups that they have for night-time road construction or something  but there was no construction.  I slowed the truck down and tried to see what the lights were from  but there wasn’t anything there. The lights were very bright like stadium lights (I think there were 2 rows of like 3 lights/row and 2 larger lights on each side of the row ends). Very large. I went to bed thinking it was very strange to the point that the next day when driving by the same area in the daylight  I looked to see what was there  but there wasn’t anything at all.  No telephone line  post  or other large structure. I live just there  so I know it wasn’t right. Anywho  it obviously was very unsettling because 4 years later I still SWEAR that something unusual was there. Maybe not an ‘alien’ UFO  but no other explanation has made sense.
152,I think some green light has been given to attack earth If you do contact a witness  please be respectful to them. Contact Email of Witness: freeVirgo84@yahoo.com
153,Everyday from 1-6 in the morning i see these 1 or 2 bright lights in the sky.and it sits up in the sky for couple hours.i see flickering lights…white and red.once i saw it move after a couple hours of sitting in the same spot.very weird.i know this is something not from here.please check it out.thanks.i been looking at this thing in the sky every night for the past 2 months If you do contact a witness  please be respectful to them. Contact Email of Witness: joseoyola51@yahoo.com
154,It didn`t have any blinking lights that i could see just a row of white lights top and bottom in the dark rings around the object. This was as you get off at third st off of the watterson xpressway heading downtown and it looked like it made a slight right bank and it went out out of sight behind the tree line.while i was at the stoplight.didn`t have my camera with me.
155,around 6 pm on a clear darkened blue sky my neighbor and i noticed 3 or more UFOs in a triangular position possibly forming a a shape of a crown outside my house. i compared them to the only star that was around (which was very bright);the UFOs were a lot brighter abnormally bright for the distance it had  flashing only a single color white standing motionless in the sky. I left for about 2 hours came back home and looked at the exact position where it was and it wasn’t there.
156,On Oct. 30 2010 @ around 7:45 PM. While driving on Portion Rd in Lake Ronkonkoma my husband and I noticed a light in the sky getting closer. At first we thought it was a plane coming in for a landing at Islip airport.  We realized it was getting too close and maybe it was going to crash. It then separated into two sections and hovered. We then saw two additional objects. They then took off heading west. I was never a believer but this was too real for me.
157,there were 3 to 5 star like lights in the sky that wuld move in one direction stop and disapear only to reappear in a diff location with a diff direction of travle at one point i followed one bright light it disapeared reappeard moved in a zig zag disapeared again and reappeared moved south extremely fast and vanished. this went on for about fifteen mins and after it never happend again what the hell was this? no sound and precision movement unlike any man made object If you do contact a witness  please be respectful to them. Contact Email of Witness: apb2485@gmail.com
158,I was driving down local rural road and saw something with 4 bright white horizontal lights.  As it grew closer  I noticed it had none of the typical marker lights for an aircraft.  It was coming towards me so I stopped car and got out to get a better look.  Object flew directly over me.  Seemed to drift.  Was about 150 ft above road and over 200 ft long and possibly 50 ft wide.  I counted seconds and object took 4 seconds to fly over me.  Made a very faint pulsating sound. Object was totally black except for the four white lights on the front of it. Was not a helicopter and planes cannot fly that slow. If you do contact a witness  please be respectful to them. Contact Email of Witness: tecfacet@gmail.com
159,Like I said “v” shaped very large  it had 6 bright white lights on the bottom….Saw it hovering for like 30seconds….. Then it vanished
160,I was talking to my sister and some of my friends.they started talking to each other  and I happen to look up.what I saw scared me. I saw a group of star (or what I thought were stars at the time) and then they started to move. I tried to get my friends to see  however they could not.I never got to see it go  because I had to go to school. I have a turn on the bus  and when we use the turn we go back by my house. I looked up and it was gone. I never saw it again.
161,I was walking my dog and I saw this thing  it was hovering about a mile in front of me for 15 seconds  I took 3 pics  It resembles a silver mushroom  it was sparkling and shining reflecting the sun  I was considering that this may be one of the Moffett Field blimps but all the sudden took of going up in stray line until loosing it of my view out in the sky.
162,My husband & I noticed the first one while driving northbound on i-65 and I noticed a bright light in the sky kind of low and I pointed it out and when we got right under it  because it wasn’t hardly moving at all  we pulled over and it stood still for a second  long enough for us to see what color it was and everything  then took off.  We turned around to follow so we were now going southbound on 65 and saw a second one high up in the sky but this one was a triangle and was heading striaght up fast. We actually followed the path the first one took and went down some back roads and actually got to see the first one again in an open field just hovering. If anyone has any info they can give me please email me  I’m so interested in this! If you do contact a witness  please be respectful to them. Contact Email of Witness: justmyluck16@yahoo.com
163,thats the second time i have seen the lights slow moving no sound and close together  they just dissappeared in to the sky
164,Only saw the bigger one first. At first it was stationary at about 60 degrees in the eastern sky. Then it either turned or extended something from it’s side  but a long protrusion(long and skinny)came out of it’s north side.  At this point I ran into my office to get my video camera only to discover it had a dead battery. By this point the craft had started moving east slowly and there were a bunch of smaller white orb looking things all around it moving to the west  each moving somewhat irratically. But in general they were moving west.  The larger craft was out of sight by this point. I was able to run back in and grab my still 12 meg camera in time to get a couple of pictures of some of the smaller ones. My only problem is I can’t upload them because I can’t find the cord. I will when I either find the cord or try to get a new one. If you do contact a witness  please be respectful to them. Contact Email of Witness: releasethechicken@yahoo.com
165,UFO’s with Aliens
166,fast seemed like it had a destination travelin was mantain a certain speed and hight at the hole time had like force field orge around it keep slowlee but fastly change in form very hard 2 explain
167,I woke up around 6am and saw what looked like an airplane.  But then noticed that the object stayed in the same position for a few minutes.  I woke my husband up to look at the object. The object moved in a zig zag movement.  Moving back and forth and up and down and no movement at times.  The object had white lights  but at times there were red and blue lights too.  I watched the object until about 6:45am when the object started moving  further away (maybe 10-15miles). If you do contact a witness  please be respectful to them. Contact Email of Witness: nursesheavenscent@yahoo.com
